,City,Lat,Long,Max_Temp,Date,Humidity,Cloudiness,Wind_Speed,Country
392,san carlos de bariloche,-41.15,-71.31,5.0,1592761961,84,75,8.7,AR
393,kargat,55.2,80.28,13.36,1592761961,56,99,6.87,RU
394,great yarmouth,52.61,1.73,21.0,1592761961,52,66,6.7,GB
395,inuvik,68.35,-133.72,7.0,1592761773,87,90,3.1,CA
396,gbadolite,4.28,21.02,21.01,1592761961,95,73,0.5,CD
397,puerto colombia,10.99,-74.95,33.0,1592761792,63,40,1.5,CO
398,ranibennur,14.62,75.62,24.65,1592761961,74,79,5.67,IN
399,manokwari,-0.87,134.08,26.61,1592761961,75,67,2.07,ID
400,lagoa,39.05,-27.98,18.98,1592761962,87,0,8.01,PT
401,okhotsk,59.38,143.3,7.58,1592761962,90,100,1.93,RU
402,eyl,7.98,49.82,27.8,1592761962,65,76,10.44,SO
403,bonavista,48.65,-53.11,11.84,1592761962,63,92,4.85,CA
404,grindavik,63.84,-22.43,18.0,1592761962,55,75,14.4,IS
405,mujiayingzi,42.12,118.78,19.79,1592761962,83,67,1.38,CN
406,avera,33.19,-82.53,33.0,1592761962,43,40,2.6,US
407,foz,43.57,-7.25,23.33,1592761962,1,72,0.89,ES
408,hobyo,5.35,48.53,26.79,1592761962,70,79,12.51,SO
409,dakar,14.69,-17.44,29.0,1592761703,74,24,4.1,SN
410,llanes,43.42,-4.75,22.22,1592761963,65,46,2.24,ES
411,gat,31.61,34.76,28.89,1592761963,49,0,2.25,IL
412,rizhao,35.43,119.46,20.25,1592761963,90,52,3.43,CN
413,ambon,-3.7,128.18,26.67,1592761963,13,13,5.7,ID
414,presidencia roque saenz pena,-26.79,-60.44,29.44,1592761963,54,20,0.89,AR
415,nuuk,64.18,-51.72,9.0,1592761963,70,2,4.1,GL
416,mpongwe,-13.51,28.16,13.86,1592761963,53,8,3.08,ZM
418,kogon,39.72,64.55,29.0,1592761964,21,16,5.1,UZ
419,nuevo progreso,23.17,-97.95,32.78,1592761964,50,20,0.89,MX
420,cap malheureux,-19.98,57.61,22.78,1592761964,71,5,3.58,MU
421,pacific grove,36.62,-121.92,22.78,1592761964,77,1,2.6,US
422,svetlogorsk,52.63,29.73,20.55,1592761964,88,78,3.79,BY
423,zhangye,38.93,100.45,16.17,1592761964,63,100,5.04,CN
424,zhezkazgan,47.8,67.71,17.0,1592761964,18,0,4.0,KZ
426,boa vista,2.82,-60.67,27.0,1592761965,78,75,2.1,BR
427,pavlohrad,48.52,35.87,22.0,1592761965,78,75,1.0,UA
428,salalah,17.02,54.09,29.0,1592761965,89,75,4.6,OM
429,gokak,16.17,74.83,25.1,1592761965,74,93,6.08,IN
430,porto nacional,-10.71,-48.42,31.67,1592761965,45,40,3.1,BR
431,palora,-1.7,-77.93,21.0,1592761965,88,90,1.5,EC
432,luanda,-8.84,13.23,24.0,1592761939,78,0,4.6,AO
433,rosarito,32.33,-117.03,20.0,1592761965,82,90,3.1,MX
434,waingapu,-9.66,120.26,24.15,1592761734,83,98,4.67,ID
435,bhadra,29.12,75.17,36.62,1592761965,27,27,2.13,IN
436,makat,47.65,53.35,31.28,1592761966,17,71,0.8,KZ
437,komsomolskiy,40.43,71.72,25.0,1592761966,25,0,4.1,UZ
438,beroroha,-21.67,45.17,19.02,1592761966,85,40,0.7,MG
440,sabha,27.04,14.43,33.21,1592761966,14,0,4.0,LY
441,honiara,-9.43,159.95,23.0,1592761966,94,20,1.0,SB
442,pochutla,15.74,-96.47,33.33,1592761966,55,40,3.21,MX
443,yangambi,0.81,24.43,25.98,1592761966,59,44,0.42,CD
444,port keats,-14.25,129.55,23.39,1592761967,42,34,5.82,AU
445,talara,-4.58,-81.27,20.96,1592761967,74,48,7.69,PE
446,marathon,44.9,-89.77,23.89,1592761967,64,40,3.1,US
447,shar,49.59,81.05,9.9,1592761967,51,0,3.04,KZ
448,tarifa,36.01,-5.61,30.0,1592761967,30,0,5.7,ES
449,shache,38.42,77.24,24.2,1592761967,16,0,3.62,CN
450,talaya,61.38,152.75,15.13,1592761967,47,11,0.98,RU
451,whyalla,-33.03,137.58,12.0,1592761967,87,5,3.6,AU
452,alofi,-19.06,-169.92,24.0,1592761967,94,67,4.6,NU
453,keti bandar,24.14,67.45,30.16,1592761968,78,27,6.25,PK
454,shelburne,44.08,-80.2,32.0,1592761968,38,20,4.6,CA
455,ixtapa,20.7,-105.2,31.0,1592761968,55,40,3.6,MX
456,bajil,15.06,43.29,32.26,1592761968,46,0,3.93,YE
457,longyearbyen,78.22,15.64,5.0,1592761968,75,75,2.1,SJ
458,grootfontein,-19.57,18.12,11.67,1592761968,42,0,2.51,NA
459,whitehorse,60.72,-135.05,13.0,1592761969,37,75,4.6,CA
460,grand gaube,-20.01,57.66,22.78,1592761969,71,7,3.58,MU
461,san marco in lamis,41.71,15.64,25.0,1592761969,44,40,6.7,IT
462,aripuana,-9.17,-60.63,34.04,1592761969,36,22,1.71,BR
463,neuquen,-38.95,-68.06,13.0,1592761969,40,24,1.0,AR
464,locri,38.24,16.26,22.78,1592761969,79,0,8.05,IT
465,kinsale,51.71,-8.53,17.22,1592761969,62,40,8.7,IE
466,lima,-12.04,-77.03,19.0,1592761958,72,75,4.1,PE
467,gonaives,19.45,-72.68,30.0,1592761969,70,0,6.2,HT
468,mau,25.95,83.55,30.38,1592761970,72,42,2.82,IN
469,anchorage,61.22,-149.9,15.0,1592761810,54,1,3.1,US
470,inyonga,-6.72,32.07,19.24,1592761970,42,41,1.18,TZ
471,taksimo,56.34,114.88,12.23,1592761970,72,21,0.61,RU
472,ewa beach,21.32,-158.01,24.0,1592761761,73,20,2.1,US
473,shenjiamen,29.96,122.3,22.34,1592761970,95,100,5.36,CN
474,satinka,52.38,41.68,17.02,1592761970,89,100,5.7,RU
475,teknaf,20.86,92.31,27.34,1592761970,87,56,5.2,BD
476,senneterre,48.38,-77.23,31.0,1592761971,33,75,6.2,CA
478,vardo,70.37,31.11,7.0,1592761971,81,20,8.2,NO
479,lianzhou,24.78,112.38,25.55,1592761971,86,100,1.4,CN
480,invermere,50.52,-116.04,17.22,1592761971,79,74,1.34,CA
481,saldanha,-33.01,17.94,14.0,1592761971,93,5,2.6,ZA
482,skjervoy,70.03,20.97,14.0,1592761760,58,31,1.5,NO
483,antofagasta,-23.65,-70.4,17.0,1592761971,63,20,1.5,CL
484,kundiawa,-6.02,144.97,16.73,1592761971,80,91,0.33,PG
485,abu dhabi,24.47,54.37,32.22,1592761928,70,44,4.6,AE
486,iskateley,67.68,53.15,4.85,1592761972,70,72,6.16,RU
487,ambulu,-8.35,113.61,24.03,1592761972,85,32,1.95,ID
488,takoradi,4.88,-1.76,25.0,1592761972,87,100,4.98,GH
489,pangkalanbuun,-2.68,111.62,23.27,1592761972,97,100,0.81,ID
490,verkhnyaya inta,65.98,60.31,6.41,1592761972,68,50,6.04,RU
491,san cristobal,7.77,-72.22,33.0,1592761972,43,40,8.2,VE
492,sibu,2.3,111.82,25.0,1592761972,94,40,1.5,MY
493,west wendover,40.74,-114.07,28.0,1592761953,20,1,4.6,US
494,channel-port aux basques,47.57,-59.14,10.19,1592761973,75,100,6.99,CA
495,impfondo,1.64,18.07,26.09,1592761973,59,51,0.67,CG
496,itoman,26.12,127.67,28.0,1592761973,94,75,6.2,JP
497,gushikawa,26.35,127.87,28.0,1592761973,94,90,7.2,JP
498,robore,-18.33,-59.75,32.07,1592761973,35,0,6.24,BO
499,arlit,18.74,7.39,39.49,1592761973,7,41,2.68,NE
500,wanaka,-44.7,169.15,0.0,1592761973,85,27,0.89,NZ
501,deputatskiy,69.3,139.9,21.52,1592761973,43,0,1.04,RU
502,oranjemund,-28.55,16.43,14.59,1592761974,76,0,3.09,NA
503,idanre,7.11,5.12,23.33,1592761975,95,89,1.64,NG
504,pangnirtung,66.15,-65.71,9.0,1592761975,66,40,4.6,CA
505,ketchikan,55.34,-131.65,12.0,1592761975,62,90,3.6,US
506,tres arroyos,-38.37,-60.28,12.69,1592761975,43,0,6.91,AR
507,uppsala,60.0,17.75,24.44,1592761975,46,0,4.1,SE
508,san juan de abajo,20.82,-105.18,31.0,1592761975,55,40,3.6,MX
509,mayumba,-3.43,10.66,23.13,1592761975,88,7,2.71,GA
510,araouane,18.9,-3.53,43.93,1592761975,6,0,4.22,ML
511,tigre,-34.43,-58.58,18.0,1592761976,63,19,3.1,AR
512,aswan,24.09,32.91,35.64,1592761804,11,0,5.99,EG
513,kharan,28.58,65.42,33.11,1592761976,21,0,4.2,PK
514,svobodnyy,51.4,128.13,10.99,1592761971,96,100,5.03,RU
515,tazmalt,36.39,4.4,25.0,1592761976,69,0,2.6,DZ
516,akureyri,65.68,-18.09,18.0,1592761976,52,40,10.8,IS
517,sable-sur-sarthe,47.84,-0.33,22.0,1592761976,53,40,7.2,FR
518,swan hill,-35.34,143.55,5.34,1592761976,95,0,2.99,AU
519,ucluelet,48.93,-125.55,13.89,1592761888,87,75,4.1,CA
520,lebyazhye,55.27,66.49,8.43,1592761977,74,66,3.52,RU
521,stephenville,32.22,-98.2,22.0,1592761977,73,90,5.1,US
522,coronado,32.69,-117.18,21.11,1592761977,72,90,2.1,US
523,clyde river,70.47,-68.59,6.0,1592761977,81,1,1.5,CA
524,la union,-5.4,-80.75,28.01,1592761977,45,1,5.38,PE
525,gryfice,53.92,15.2,16.11,1592761977,93,90,4.6,PL
526,bagrami,34.49,69.27,23.0,1592761977,28,0,1.5,AF
527,vilyuysk,63.76,121.62,16.02,1592761977,86,83,2.52,RU
528,mariinsk,56.21,87.75,9.02,1592761978,69,100,1.73,RU
529,geraldton,-28.77,114.6,19.0,1592761978,39,90,6.7,AU
530,usak,38.5,29.42,25.0,1592761978,10,84,25.93,TR
532,san juan de uraba,8.76,-76.53,30.1,1592761978,68,85,2.32,CO
533,qianan,44.99,124.06,20.28,1592761978,76,100,2.84,CN
534,nelson bay,-32.72,152.15,8.89,1592761978,87,13,2.1,AU
535,port shepstone,-30.74,30.45,19.53,1592761978,71,4,4.62,ZA
536,esperance,-33.87,121.9,6.0,1592761978,87,0,5.1,AU
537,iguaba grande,-22.84,-42.23,29.0,1592761979,66,0,4.1,BR
538,itarema,-2.92,-39.92,29.18,1592761979,62,1,6.21,BR
539,qinggang,46.68,126.08,15.97,1592761979,86,60,2.97,CN
540,tromso,69.65,18.96,17.0,1592761698,48,32,1.0,NO
541,asau,46.43,26.4,16.67,1592761979,93,90,0.99,RO
542,sadat,25.68,83.28,29.74,1592761979,74,60,3.77,IN
543,sechura,-5.56,-80.82,24.71,1592761979,56,1,5.5,PE
544,san vicente,-26.62,-54.13,26.28,1592761979,41,0,2.98,AR
545,bonthe,7.53,-12.51,27.54,1592761980,79,81,3.7,SL
546,dalvik,65.97,-18.53,18.0,1592761980,52,40,10.8,IS
547,galle,6.04,80.22,27.7,1592761702,81,100,7.82,LK
548,hasanabad,36.55,61.05,37.0,1592761980,10,19,8.7,IR
549,lagos,6.58,3.75,28.0,1592761790,83,75,2.6,NG
550,beringovskiy,63.05,179.32,9.25,1592761980,51,37,2.01,RU
551,wysokie mazowieckie,52.92,22.52,24.44,1592761980,69,82,15.65,PL
552,codajas,-3.84,-62.06,32.84,1592761981,50,6,2.17,BR
553,kerrville,30.05,-99.14,29.44,1592761981,66,90,5.1,US
554,bergama,39.12,27.18,29.0,1592761981,69,75,2.6,TR
555,mutoko,-17.4,32.23,14.07,1592761981,64,73,0.36,ZW
557,college,64.86,-147.8,12.22,1592761855,87,90,3.6,US
558,marsa matruh,31.35,27.25,24.0,1592761981,73,0,6.2,EG
559,verkhnyaya toyma,62.23,45.0,9.54,1592761981,70,34,1.79,RU
560,aden,12.78,45.04,31.21,1592761959,70,41,4.09,YE
562,vestmannaeyjar,63.44,-20.27,13.0,1592761982,76,75,12.3,IS
563,srikakulam,18.3,83.9,29.15,1592761982,68,75,5.03,IN
564,rosario,-32.95,-60.64,20.56,1592761766,42,38,6.7,AR
565,jalor,25.35,72.62,34.03,1592761975,47,31,6.58,IN
566,muros,42.78,-9.06,19.44,1592761982,92,64,1.79,ES
567,koster,-25.86,26.9,9.08,1592761982,51,2,3.7,ZA
